original_label,new_label,text,cluster_size,cluster_keywords
Marketplace,Marketplace_cluster_0,"I have the following Amiga software for sale:

ProVideo GOLD                   $50

AmigaVision                     $25

B.E.S.T. Plan It!               $10
spreadsheet
(still in shrinkwrap)

SuperBack                       $10
(hard drive backup)

Certificate Maker               $10


Add s&h to the above and its yours...email me at the address listed below:
",3,[]
Medical,Medical_comatose seizures corn,"
She's published two books about her manic-depressive illness: 

_Call Me Anna: the Autobiography of Patty Duke_, Patty Duke and 
Kenneth Turan, Bantam Books 1987 

and

_A Brilliant Madness:  Living with Manic-Depressive Illness_, Patty 
Duke and Gloria Hochman, Bantam Books 1992
",1,"['comatose seizures corn', 'hours corn intoxication', 'corn intoxication banks', 'corn intoxication', 'seizures corn festival']"
Marketplace,Marketplace_sauce coincidence night,"*****************************
   * WARRIORS TICKETS FOR SALE *
   *****************************

I have 2 tickets that I can't use (Last pair this year).

Section 109, Row P, Seats 8 & 9

DAY	DATE	OPPONENT	TIME	
---	----	--------	----	
WED     4/21    Sacremento     7:30

Price: $45.00 = MY COST

Call or email if you are interested in these tickets.
",1,"['sauce coincidence night', 'food conclusion food', 'meal course shell', 'reaction food conclusion', 'food ages problems']"
Marketplace,Marketplace_books illness anna,"Followup-To:kedz@wpi.wpi.edu 
Distribution: ne
Organization: Worcester Polytechnic Institute
Keywords: 

I am looking for an inexpensive motorcycle, nothing fancy, have to be able to do all maintinence my self. looking in the <$400 range.",1,"['books illness anna', 'illness anna autobiography', 'autobiography patty duke_', 'illness_ patty duke', 'anna autobiography patty']"
Marketplace,Marketplace_student edition dos,"Cambridge  Audio  Integrated  Amp  P70  -  60W stereo solid 
     state, w/box  List $600 want $340 

     Cambridge Audio Tuner T50 - 8 presets list $350 want $200 

     Cambridge  Audio  PreAmp  C70  - list $500 want $290 

     Klipschorns  -  The Klipschorns Speakers...legends in there 
     own  time  list   ~$3k   want   $950...very   big,   corner 
     loaded..will play to unbelieveable volumes with very little 
     power. ",1,"['student edition dos', 'subaru issue manuals', 'subaru service manuals', 'dos release worksheet', 'computer stuff lotus']"
Marketplace,Marketplace_computer shoppers guide,"For Sale: 1987 Honda XR-100R dirt bike. Bought new from dealer in
           1989. Ridden only 4 hours, garage kept and well cared for.
           The bike is in MINT condition; perfect size for lady or
           young adult. price: $600 firm. You will not be disappointed.
           Ohio/Kentucky/Indiana inquiries preferred please.
 
           work: (513) - 576-5986. Leave voicemail please.",1,"['computer shoppers guide', 'friend motherboard cache', 'dealer friend motherboard', 'world atari paddles', 'ram advice book']"
Marketplace,Marketplace_hours garage bike,"Wanted: Summer sublet in NW DC, on red Metro line. Have own bedroom, but can
        share common areas with others.  Apartment or room for $400 or less.
        Move in Memorial Day weekend through end of August.  No smokers.",1,"['hours garage bike', 'sale honda dirt', 'garage bike mint', 'dirt bike dealer', 'ridden hours garage']"
Marketplace,Marketplace_february supermodel rachel,"The following cassette tapes are for sale.  $3.00 each... $2.50 each
for multiple orders, shipping included. Trades can be arranged.
Some of the cases are somewhat worn, with a few cracks, but the tapes
are all in good condition and sound fine.

E-mail to the posting account. Thanks.

The Who
	-Who's Greatest Hits
Bachman Turner Overdrive
	-Best of BTO (so far)
Van Halen
	-5150
	-OU812
The Doors
	-The Best of the Doors
The Cars
	-Door to Door
	-The Cars Greatest Hits
Phil Collins
	-Face Value
	-No Jacket Required
Tears for Fears
	-Songs From the Big Chair",1,"['february supermodel rachel', 'pa february supermodel', 'supermodel rachel williams', 'february supermodel', 'november women washington']"
Marketplace,Marketplace_warriors tickets sale,"My roommate left me his Playboy collection which he no longer wants, so I'm
offering them to the general public.  (THAT'S YOU!)

    MAKE AN OFFER FOR THE *ENTIRE COLLECTION*

    ** The Current Best Offer is $40 + shipping **

    I will accept the best offer.
    (Offer does *NOT* include cheapest method of shipping from Bethlehem, PA)

1992:
    February    (Supermodel Rachel Williams, World Tour, & POM Tanya Beyer)

1991:
    May         (Shannon & Tracy Tweed & POM Carrie Jean Yazel)
    July        (Tall girls, Miss Bulgaria, & POM Wendy Kaye)
    September   (Barbi twins & POM Samantha Dorman)
    November    (La Toya Jackson & POM Tonja Marie Christensen)
    December    (Dian Parkinson from ""The Price is Right"" & POM Wendy Hamilton)

1990:
    July        (Sharon Stone, Marilyn look-alike, & POM Jacqueline Sheen)
    October     (Girls of the Big West, Gladiator Marisa Pare, & POM Brittany
                 York)
    November    (Teri Copley from ""We Got It Made"", Sex in Cinema, & POM
                 Lorraine Olivia, stewardess)

1989:
    January     (35th Anniversary Issue - Collector's Edition)
    February    (Year in Sex, Rio's Grand, & POM Simone Eden)
    March       (La Toya Jackson & POM Laurie Wood)
    August      (Women of Wall St., Diana Lee from ""License to Kill"", & POM
                 Gianna Amore)
    November    (Donna Mills, Sex in Cinema '89, & POM Renee Tenison)

1988:
    August      (Sunshine Girls & POM Helle Michaelsen)
    October     (Girls of the Southwest Conference & POM Shannon Long)
    November    (Women of Washington, Sex in Cinema '88, & POM Pia Reyes)
    December    (Playmate Review, Sex Stars of '88, Lysette Anthony, & POM
                 Kata Karkkainen)

1987:
    November    (Jessica Hahn, Sex in Cinema '87, & POM Pam Stein)

Also:  *** Special Edition:  ""Playboy Presents:  100 Beautiful Women"" ***
-- ",1,"['warriors tickets sale', 'tickets sale tickets', 'tickets pair year', 'sale tickets pair', 'date opponent']"
Marketplace,Marketplace_auto logon password,"BOY OH BOY, HAVE I GOT A DEAL FOR YOU !!!!!!!!!

How does this sound.......

	I have decided to sell all of this as a package deal,
(unless someone really wants something seperate, then I'm open
to that as well).....

	Kramer Striker 100st electric guitar
		Dark metallic blue...
		Floyd Rose Tremlo...
		Tuning lockers at the nut...
		Great action, all-around great guitar!!

			-plus-

	Korg pme40x professional modular effects pedal board
		Has flanger, chorus, and graphic equilizer...
		Has a unique bonus...you can buy seperate pedal ""boxes""
			that sort of slide into any of the 4 existing slots..
		Mono input, STEREO output...
		Perfect for the electric or acoustic guitars!!!

			-plus-
	
	DOD American Metal distortion pedal
		Durable, great sounding pedal...
		Goes great with the Korg pedal board!!

There you have it!  Everything you need for a great sound!!!
Yours as a package deal for only........$300 o.b.o.!!!!!!!!!!!!!!!!!!

Respond by email to  dietrijj@mentor.cc.purdue.edu  or by phone at
(317) 495-4426 and ask for Jason.  Thanks in advance!!!",1,"['auto logon password', 'price battery pack', 'password security uucp', 'modems hpcc01 corp', 'list price battery']"
