category,text
sport,henman & murray claim lta awards tim henman was named player of the year for 2004 by the lawn tennis association at wimbledon on monday.  the briton was recognised for the best year of his career  which saw him reach the semis at the french and us opens. scotland s andrew murray was named young player of the year after winning the us open juniors  as well as a futures event in italy. and world number one peter norfolk won disabled player of the year after claiming his third us open crown.  great britain s under 14 boys won the team of the year prize for their victory at the world junior tennis event in august. henman will start his 2005 campaign at the kooyong event on 12 january in a field that includes roger federer  andy roddick and andre agassi. and the briton is optimistic of surpassing his best effort of a fourth-round place at the australian open  which begins the following week.  i ve often felt that the conditions suit my game in melbourne so i d love to be able to start next year by doing well at the australian open   henman told his website.  that s why i ve changed my schedule slightly by committing to play in the kooyong classic.  i ll be able to acclimatise while practising before the event and then will be guaranteed matches against the best players in the world.  i think that will give me the best possible chance of doing well at the australian open.
business,indonesians face fuel price rise indonesia s government has confirmed it is considering raising fuel prices by as much as 30%.  millions of indonesians use kerosene for basic cooking  and prices have been heavily subsidised for years. president susilo bambang yudhoyono s government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor. but critics argue cutting subsidies will hurt the poorer families that his government says it wants to help. millions of people were left homeless in indonesia aceh s region following the earthquake and tsunami disaster in late december.  indonesia pays subsidies to importers in order to stabilise domestic fuel prices  but higher oil prices have forced the government to spend more on holding prices down. it spent 59.2 trillion rupiah ($6.58bn; £3.5bn) on fuel subsidies in 2004  a sum far in excess of its original projection of 14.5 trillion rupiah. since president yudhoyono s government came to power in october  it has indicated its intention of raising domestic fuel prices by cutting subsidies.  the (january to march) quarter of this year is the best time for us to increase fuel prices   said sri mulyani indrawati  state minister for national development planning.  we are still considering if a 30% hike is suitable at the moment. the sooner the better for the state budget.  the bbc s correspondent in jakarta  rachel harvey  told world business report that there was likely to be a strong public reaction to any price rise.  the big question is whether they go for one big  short  sharp shock and raise prices between 20% and 30% or whether they try to stagger it   she said. indonesia s previous government  led by president megawati sukarnoputri  also attempted to cut subsidies in 2003  but was forced to back down in the face of public protests.
entertainment,us  to raise tv indecency fines  us politicians are proposing a tough new law aimed at cracking down on indecency and bad language on us tv.  fines of up to $500 000 (£266 582) could be imposed each time broadcasters transmit nudity or profanities. the proposal  unveiled in the house of representatives  also seeks to revoke a broadcaster s licence after three violations have been committed. the exposure of janet jackson s breast at last year s superbowl landed cbs with a $550 000 (£293 264) fine. entertainers could also be liable for fines under the proposed legisation from both us politcians and officials from the federal communications commission (fcc). a republican senator from kansas  sam brownbeck  is set to call for a maximum $3 million (£1.6 million) fine for repeated violations.  the current maximum fine stands at $32 500 (£17 320) - 20 of the stations in the cbs network were each penalised these lesser amounts for the jackson incident. republican politician fred upton  who chairs the committee responsible for broadcasting  said current fines are  more of a cost of doing business rather than a deterrent . last year s janet jackson  wardrobe malfunction  encouraged the fcc to impose tougher rules  but the us congress adjourned last year without agreeing on a new level of fines. new figures have to be decided before new legislation can be put before president bush. certain broadcasters  like fox  claim the material they carry does not violate indecency laws and is protected under the right to free speech.
tech,gadget market  to grow in 2005  the explosion in consumer technology is to continue into 2005  delegates at the world s largest gadget show  in las vegas  have been told.  the number of gadgets in the shops is predicted to grow by 11%  while devices which talk to each other will become increasingly important.  everything is going digital   kirsten pfeifer from the consumer electronics association  told the bbc news website. the consumer electronics show (ces) featured the pick of 2005 s products.  consumers are controlling what they want and technologies like hdtvs [high-definition tvs]  digital radio  and digital cameras will remain strong in 2005.  all the products on show really showed the breadth and depth of the industry.  despite showing diversity  some delegates attending complained that the showcase lacked as much  wow factor  as in previous years.  the portable technologies on show also reflected one of the buzzwords of ces  which was the  time and place shifting  of multimedia content - being able to watch and listen to video and music anywhere  at any time. at the start of last year s ces  the cea predicted there would be an average growth of 4% in 2004. that figure was surpassed with the rise in popularity of portable digital music players  personal video recorders and digital cameras. it was clear also that gadgets are becoming a lot more about lifestyle choice  with fashion and personalisation becoming increasingly key to the way gadgets are designed. part of this has been the rise in spending power of the  generation x-ers  who have grown up with technology and who now have the spending power and desire for more devices that suit them. more than 57% of the consumer electronics market is made up of female buyers  according to cea research. hybrid devices  which combine a number of multimedia functions  were also in evidence on the show floor.  a lot of this is driven by just the ability to do it   said stephen baker  a consumer electronics analyst with retail research firm npd group.  some of these functions cost next to nothing to add.   as well as the show floor showcasing everything from tiny wearable mp3 players to giant high-definition tvs  several keynote speeches were made by industry leaders  such as microsoft chief bill gates. despite several embarrassing technical glitches during mr gate s pre-show speech  he announced several new partnerships - mainly for the us market. he unveiled new ways of letting people take tv shows recorded on personal video recorders and watch them back on portable devices. he disappointed some  however  by failing to announce any details of the next generation of the xbox games console. another disappointment was the lack of exposure sony s new portable games device  the psp  had at the show. sony said the much-anticipated gadget would most likely start shipping in march for the us and europe. it went on sale in japan before christmas. there were only two psps embedded in glass cabinets at the show though and no representatives to discuss further details. a sony representative told the bbc news website this was because sony did not consider it to be part of their  consumer technology  offering.  elsewhere at the show  there was a plethora of colour and plasma screens  including samsung s 102-inch (2.6 metre) plasma - the largest in the world. industry experts were also excited about high-definition technologies coming to the fore in 2005  with new formats for dvds coming out which will hold six times as much data as conventional dvds. with so many devices on the move there were a lot of products on show offering external storage  like seagate s 5gb pocket sized external hard drive  which won an innovation for engineering and design prize. more than 120 000 trade professionals attended ces in las vegas  which officially ran from 6 to 9 january.
politics,tories attack burglar  u-turns  tory leader michael howard has accused tony blair of performing u-turns over rules on using force against burglars.  the government has ruled out amending the present law  which allows  reasonable force  in self defence. mr howard branded the decision unacceptable  saying:  it is not householders who should be frightened  it s the burglars.  home secretary charles clarke said ministers had kept to their pledge to review the law.  metropolitan police commissioner sir john stevens last month backed a tory attempt to change the law so only householders using  grossly disproportionate  force could be prosecuted. the pressure prompted the prime minister to say the police and crown prosecution service would be consulted as part of a review of the law. he told mps:  if we get the right response from those people  we will  of course  support a change in the law.  instead  the government has decided no change is needed but there will be a publicity campaign so people are clear they are entitled to defend themselves. on thursday  mr howard told bbc radio 4 s today programme mr blair had initially refused the law change  then had come round to the idea and was now backtracking again. he said:  we ve had three policy positions in three months and two u-turns.  it s not surprising gordon brown told him:  there s nothing you could say to me now that i could ever believe.    mr howard said the  grossly disproportionate  test matched the hurdle ministers had introduced for civil cases where burglars where claimed compensation from householders. the issue entered the public spotlight when norfolk farmer tony martin was jailed for shooting dead a 16-year-old burglar in 1999 as he ran away from the farm. but the home secretary said mr howard was wrong to say the law was biased in favour of burglars. the barrister who had represented mr martin had said the rules were  weighted overwhelmingly  in favour of the householder  said mr clarke. he said:  the problem is there has not been enough understanding of it - that was the point sir john stevens was making and the prime minister was making.  the new guidance would help ensure clarity on the issue  added mr clarke. the director of public prosecutions  ken macdonald  says only 11 householders or occupiers of business premises have been prosecuted in the last 15 years. those cases included a warehouse manager who had waited for a burglar  tied him up  beat him and set him alight  he said. tory mp patrick mercer s private member s bill to change the law received a first reading in parliament on wednesday and goes to a full debate next month.
entertainment,van gogh festival film withdrawn murdered director theo van gogh s controversial film submission has been pulled from the rotterdam film festival because of security fears.  it was one of three of his works to be shown as part of a freedom of expression event in tribute to the late film-maker s life. the film is critical of the treatment of women under islam. its tv screening is thought to have led to his murder. the 10-day dutch festival begins on wednesday. submission was made with liberal somali-dutch politician ayaan hirsi ali and was due to be shown on 30 january. van gogh was shot and stabbed to death in november 2004 several months after receiving death threats following submission s first broadcast on dutch television. two of van gogh s other films will be shown as planned  including the theatrical world premiere of his last feature 06/05.  festival director sandra den hamer said:  the festival reflects what happens around us and within cinema itself.  the festival opens with the french film the 10th district court  moments of trials made by raymond depardon. the event sees 14 films competing to win three top tiger awards which aim to introduce promising new talent. new sections added to this year s festival include cinema of the future and cinema of the world  with special focus on russian and south-east asian productions. there is also an iraqi-german offering entitled underexposure  which looks at life in iraq after saddam hussein.
sport,gb quartet get cross country call four british athletes have been pre-selected to compete at the world cross country championships in march after impressive starts to the season.  hayley yelling  jo pavey  karl keska and adam hickey will represent team gb at the event in france. yelling clinched the women s european cross country title last month and pavey followed up with bronze. keska helped the men s team to overall third place while hickey finished in 10th place on his junior debut.  winning the european cross country title meant so much to me   said yelling.  and being pre-selected for the worlds means that i can focus on preparing in the best way possible.  the 32-year-old will race alongside olympic 5 000m finalist pavey in the women s 8km race on 19 march. keska  who has made a successful return from a long-term injury lay-off  contests the men s 12km race on 20 march  while 16-year-old hickey goes in the junior men s 8km on the same day. the rest of the team will be named after the trials at wollaton park in nottingham  which take place on 5 march.
business,us trade deficit widens sharply the gap between us exports and imports has widened to more than $60bn (£31.7bn)  an all-time record.  figures from the commerce department for november showed exports down 2.3% to $95.6bn  while imports grew 1.3% to $155.8bn on rising consumer demand. part of the expanding deficit came from high prices for oil imports. but the numbers suggested the sliding dollar - which makes exports less expensive - has had little impact  and could indicate slowing economic growth.  the trade deficit - far bigger than the $54bn widely expected on wall street - prompted a rapid response from the currency markets.  by 1650 gmt  the dollar was trading against the euro at $1.3280  almost a cent and a half weaker than before the announcement. against the pound  the dollar was down about 0.7% at $1 8923.  the dollar s fall has been sudden  violent and appropriate given this number   said brian taylor of wells fargo in minneapolis.  recent exchange rate movements certainly haven t had any impact yet.  treasury secretary john snow put a brave face on the news  saying it was a sign of strong economic expansion.  the economy is growing at such a fast rate that it is generating lots of disposable income... some of which is used to buy goods from our trading partners.   although the white house officially still backs the us s traditional  strong dollar  policy  it has tacitly indicated that it would be happy if the slide continued. the dollar has fallen by 50% against the euro - as well as by 30% against the yen - in the past three years. the main catalyst  most economists accept  is the large budget deficit on the one hand  and the current account deficit - the difference between the flow of money in and out of the us - on the other. the trade deficit is a large part of the latter. in november  the fall in exports was largely due to a decline in sales of industrial supplies and materials such as chemicals  as well as of cars  consumer goods and food. one small bright spot for us policy-makers was a slight decline in the deficit with china  often blamed for job losses and other economic woes. although china s overall trade surplus is expanding  according to chinese government figures  the commerce department revealed the us s deficit with china was $19.6bn in november  down from $19.7bn the month before. but the deficit with japan was at its worst in more than four years.
sport,wenger keeping faith with almunia arsene wenger has pledged to keep faith with stand-in keeper manuel almunia for the crunch week which could define arsenal s season.  almunia will start tuesday s champions league group tie against rosenborg and is likely to face chelsea on sunday. wenger said:  you don t think i would take out one goalkeeper for just one game  do you  i don t do that.  i have to give him a run for a few games. it s just that i don t want to make this story bigger than it is.  wenger insists he has complete faith in the 27-year-old spaniard  who was signed last summer from celta vigo as back-up to jens lehmann.   if you look at my career  you will see that i have left many big players out for a long time. i ve done it with dennis bergkamp  kanu  everybody.  it s because it s a goalkeeper  that s all. it s a usual situation for me. you put your best team out  no matter who it is.  for me  it was not a big mistake at old trafford and i wasn t alarmed by what happened against birmingham either.  it s nothing against lehmann. i think he s a great keeper  as is almunia. you can only play one of them.  these people are not robots - they have good periods and less good periods. just because lehmann doesn t play for two or three weeks  or longer or shorter  it doesn t mean i ve lost faith in him.   but former arsenal keeper david seaman believes lehmann has been harshly treated. seaman told the daily mail:  jens is a fantastic keeper. he deserves another chance.  he has made a few mistakes but on form he deserves to be the first-team choice.  with arsenal hit by injuries and suspension  inexperienced midfield pair of mathieu flamini and cesc fabregas will line up against rosenborg but wenger is confident they will prove more than capable.  it puts a lot of pressure on them but it s a good learning process   said wenger.  i m not worried as they are both mentally strong and will put in the needed workrate.   the gunners go into the game boosted by the news that defender sol campbell is on the verge of signing a new deal with the club. and the 30-year-old  whose current contract runs out in the summer  has made it clear he is determined to achieve champions league success with arsenal. campbell said:  it means a lot to me to go through  it s everything. we want to carry on in this competition.  that s where the best teams in europe are. to be in there  playing against these guys and trying to win the trophy  is the first thing in my mind.   meanwhile  thierry henry believes he will be blamed if arsenal fail to qualify for the next stage of the champions league. henry will captain the side in place of the suspended patrick vieira as the gunners seek the required victory over rosenborg. and the striker said:  if we don t win and we go out of the competition  like it or not  it s going to be my fault. that s the way it is.  if the team don t win i know i will be criticised  no matter how i play.
entertainment,deal to ban  homophobic  reggae the reggae industry is to refuse to release or stage concerts featuring homophobic songs under a global deal struck with gay rights groups.  a damaging campaign against stars such as beenie man and sizzla has been waged over lyrics that allegedly call for gay people to be killed or assaulted. the campaign  which led to gigs being scrapped and a uk police investigation  will now be dropped under the truce. brett lock of gay group outrage! said they were  wiping the slate clean . the protests had been led by the stop murder music coalition  an umbrella group including outrage!  the black gay men s advisory group and jamaican movement j-flag.  that coalition has reached a verbal agreement with major dancehall reggae record labels and concert promoters covering eight of the scene s biggest stars. but the artists themselves were not involved in the negotiations and have not directly signed up. instead  the record companies have pledged not to release or re-release any offensive songs - many of which date back a number of years. and it is believed promoters will make stars agree not to perform such tunes on stage.  the reggae industry will work with the artists while still maintaining their freedom of speech and artistic freedom   according to media and pr strategist glen yearwood  who is representing the reggae industry.  the industry would halt any attempt by an artist to perform or release a song inciting violence against any group or gender  he said.  we ll advise them this is not the way forward in a civilised society.  the stop murder music campaign saw protesters picket gigs  resulted in sizzla s uk tour being cancelled in november  forced mobo award organisers to drop artists from nominations and saw beenie man dropped from an mtv show in august. police have also been investigating whether lyrics incite the assault and murder of gay people. the campaign was a blow to the reggae industry  mr yearwood admitted.  if you can t have major stars touring  then you don t sell many albums   he said.  but the artists - beenie man  sizzla  elephant man  buju banton  bounty killer  tok  capleton and vybz kartel - will not have to apologise for past songs or comments. outrage! s mr lock said:  the main players in the dancehall reggae industry will attempt to regulate the industry themselves to ensure that there aren t any violently homophobic or gay-bashing lyrics in the future.  as a gesture of good faith  the stop murder music coalition has agreed to suspend our aggressive campaigning against murder music.  so we shall not be picketing concerts or calling for prosecutions to give the industry the space to regulate and reform itself.  record companies vp and greensleeves  distributor jet star and concert promoters including jammins and apollo entertainment are all on board.
